date,geo,mode,value,value_z,roll_std_4q,pct_qoq,quarter
2016-12-31,IT,air,65.6,-0.6365484014956712,0.06315711304408224,-0.025260029717682042,4
2017-03-31,IT,air,65.5,-0.6409820719538497,0.056373325133694606,-0.0015243902439023849,1
2017-06-30,IT,air,69.4,-0.46806892408487627,0.08114949352971182,0.05954198473282446,2
2017-09-30,IT,air,68.5,-0.5079719582084857,0.08856249803929035,-0.012968299711815678,3
2017-12-31,IT,air,71.0,-0.3971301967540158,0.1024552078361199,0.03649635036496357,4
2018-03-31,IT,air,70.4,-0.4237322195030883,0.04888779313778294,-0.00845070422535199,1
2018-06-30,IT,air,71.0,-0.3971301967540158,0.05250671462655912,0.008522727272727293,2
2018-09-30,IT,air,73.2,-0.2995894466740821,0.05466196051389633,0.030985915492957705,3
2018-12-31,IT,air,72.7,-0.3217577989649761,0.05930465848904093,-0.006830601092896127,4
2019-03-31,IT,air,72.1,-0.3483598217140492,0.0419835272213416,-0.008253094910591563,1
2019-06-30,IT,air,73.2,-0.2995894466740821,0.02317980130776531,0.015256588072122268,2
2019-09-30,IT,air,71.5,-0.3749618444631218,0.03265602210843288,-0.023224043715847076,3
2019-12-31,IT,air,70.2,-0.432599560419446,0.05543565765876925,-0.018181818181818188,4
2020-03-31,IT,air,67.2,-0.56560967416481,0.11236096659517524,-0.042735042735042694,1
2020-06-30,IT,air,87.6,0.3388590993036645,0.40621350679482937,0.3035714285714284,2
2020-09-30,IT,air,85.9,0.26348670151462544,0.4662368674438722,-0.019406392694063745,3
2020-12-31,IT,air,85.1,0.22801733784919453,0.42372685450380415,-0.00931315483119921,4
2021-03-31,IT,air,96.8,0.746756781456114,0.23948661580821357,0.13748531139835496,1
2021-06-30,IT,air,95.1,0.6713843836670743,0.2696501608643743,-0.017561983471074405,2
2021-09-30,IT,air,104.6,1.0925830771940601,0.3554133778575047,0.09989484752891697,3
2021-12-31,IT,air,103.6,1.0482463726122722,0.2116545613851269,-0.009560229445506718,4
2022-03-31,IT,air,101.7,0.9640066339068755,0.1894410766339367,-0.018339768339768248,1
2022-06-30,IT,air,125.4,2.014786532495251,0.49281432166285133,0.23303834808259594,2
2022-09-30,IT,air,144.5,2.861617590007401,0.8968370328678347,0.15231259968102062,3
2022-12-31,IT,air,133.2,2.3606128282331964,0.8032900594913931,-0.07820069204152258,4
2023-03-31,IT,air,126.4,2.059123237077039,0.3899341121207994,-0.0510510510510509,1
2023-06-30,IT,air,136.3,2.49805661243674,0.3328699467777759,0.07832278481012667,2
2023-09-30,IT,air,135.0,2.440418896480415,0.19526195441551214,-0.009537784299339824,3
2023-12-31,IT,air,125.7,2.028087543869787,0.24718789718779094,-0.06888888888888889,4
2015-03-31,NL,air,101.7,-0.04495406229212426,,,1
2015-06-30,NL,air,102.6,0.057702229210786216,,0.008849557522123908,2
2015-09-30,NL,air,104.6,0.2858273214394783,,0.01949317738791434,3
2015-12-31,NL,air,100.4,-0.1932353722407738,0.2013400496033601,-0.04015296367112797,4
2016-03-31,NL,air,96.1,-0.6837043205324631,0.4158071335795944,-0.042828685258964216,1
2016-06-30,NL,air,95.4,-0.7635481028125041,0.48672997987798955,-0.007284079084287076,2
2016-09-30,NL,air,98.0,-0.466985482915205,0.2552852970456306,0.027253668763102645,3
2016-12-31,NL,air,94.6,-0.8547981397039822,0.16565269708647232,-0.03469387755102049,4
2017-03-31,NL,air,94.3,-0.8890169035382857,0.19185464924990864,-0.003171247357293794,1
2017-06-30,NL,air,96.7,-0.6152667928638546,0.200827836020983,0.02545068928950167,2
2017-09-30,NL,air,99.3,-0.31870417296655545,0.2636424428963811,0.026887280248190315,3
2017-12-31,NL,air,95.5,-0.7521418482010701,0.2438378732420767,-0.038267875125881146,4
2018-03-31,NL,air,92.2,-1.1285482503784119,0.3360976359326306,-0.034554973821989465,1
2018-06-30,NL,air,96.1,-0.6837043205324631,0.33181224013855165,0.042299349240780826,2
2018-09-30,NL,air,101.1,-0.11339158996073287,0.4191313581840946,0.05202913631633721,3
2018-12-31,NL,air,97.9,-0.47839173752663894,0.42345480213660147,-0.03165182987141435,4
2019-03-31,NL,air,91.4,-1.2197982872698883,0.46204718086475843,-0.06639427987742597,1
2019-06-30,NL,air,97.6,-0.5126105013609441,0.4625748396325172,0.06783369803063444,2
2019-09-30,NL,air,100.4,-0.1932353722407738,0.4366649368237978,0.028688524590164022,3
2019-12-31,NL,air,94.6,-0.8547981397039822,0.4419586367338663,-0.057768924302788904,4
2020-03-31,NL,air,91.7,-1.1855795234355848,0.4285448917689305,-0.030655391120507303,1
2020-09-30,NL,air,103.7,0.18317102993656786,0.6207769585774804,0.13086150490730653,3
2020-12-31,NL,air,95.6,-0.7407355935896361,0.5862859252423063,-0.07810993249758924,4
2021-06-30,NL,air,99.7,-0.2730791545208164,0.5905147011550226,0.042887029288702916,2
2021-09-30,NL,air,101.3,-0.09057908073786333,0.3885248936730805,0.016048144433299827,3
2021-12-31,NL,air,107.0,0.5595774321139095,0.5386361450011943,0.05626850937808503,4
2022-03-31,NL,air,104.6,0.2858273214394783,0.37397906703509326,-0.02242990654205612,1
2022-06-30,NL,air,116.1,1.597546601754458,0.7238254958472633,0.10994263862332687,2
2022-09-30,NL,air,126.6,2.7952033359550916,1.1402594517512488,0.0904392764857882,3
2022-12-31,NL,air,121.0,2.156453077714754,1.0673790394725982,-0.04423380726698256,4
2023-03-31,NL,air,112.6,1.1983276903542468,0.6941512694702554,-0.0694214876033058,1
2023-06-30,NL,air,116.9,1.688796638645936,0.6806501849892858,0.03818827708703387,2
2023-09-30,NL,air,115.0,1.472077801028678,0.40492203870593024,-0.016253207869974418,3
2023-12-31,NL,air,108.9,0.7762962697311676,0.39341934258797373,-0.053043478260869525,4
2006-03-31,PL,air,75.0,-1.7505162050186893,,,1
2006-06-30,PL,air,76.4,-1.6270627428582718,,0.01866666666666683,2
2006-09-30,PL,air,76.6,-1.6094265339782132,,0.002617801047120283,3
2006-12-31,PL,air,76.0,-1.6623351606183914,0.06276772742718846,-0.007832898172323688,4
2007-03-31,PL,air,75.5,-1.7064256828185405,0.04282307336979892,-0.006578947368421018,1
2007-06-30,PL,air,75.6,-1.6976075783785112,0.04401697665737096,0.0013245033112581073,2
2007-09-30,PL,air,76.1,-1.653517056178362,0.025959796569548846,0.006613756613756516,3
2007-12-31,PL,air,76.1,-1.653517056178362,0.028231709134084224,0.0,4
2008-03-31,PL,air,76.9,-1.582972220658123,0.047418668240648366,0.010512483574244502,1
2008-06-30,PL,air,77.0,-1.5741541162180936,0.043424128355620255,0.0013003901170349774,2
2008-09-30,PL,air,77.0,-1.5741541162180936,0.038437226127677075,0.0,3
2008-12-31,PL,air,80.2,-1.2919747741371403,0.1426199477656268,0.04155844155844157,4
2009-03-31,PL,air,81.7,-1.1597032075366935,0.20822368600039468,0.018703241895261735,1
2009-06-30,PL,air,82.4,-1.0979764764564848,0.2115579466672568,0.008567931456548328,2
2009-09-30,PL,air,86.0,-0.7805247166154131,0.217001229894035,0.043689320388349495,3
2009-12-31,PL,air,88.0,-0.6041626278148173,0.26330324348038664,0.023255813953488413,4
2010-03-31,PL,air,89.4,-0.4807091656543999,0.2679988150167958,0.015909090909090873,1
2010-06-30,PL,air,89.8,-0.4454367478942815,0.15137032499700845,0.004474272930648615,2
2010-09-30,PL,air,90.0,-0.4278005390142217,0.07952607053313795,0.00222717149220486,3
2010-12-31,PL,air,89.6,-0.46307295677434135,0.022768247760889006,-0.004444444444444473,4
2011-03-31,PL,air,91.8,-0.26907465909368583,0.08934905614480444,0.024553571428571397,1
2011-06-30,PL,air,93.2,-0.14562119693326836,0.14711530233035033,0.015250544662309462,2
2011-09-30,PL,air,95.7,0.07483141406747626,0.22543727318138096,0.02682403433476388,3
2011-12-31,PL,air,95.7,0.07483141406747626,0.17053402373811316,0.0,4
2012-03-31,PL,air,95.8,0.08364951850750554,0.1117733146017105,0.0010449320794148065,1
2012-06-30,PL,air,95.9,0.09246762294753608,0.008442692229856,0.0010438413361169019,2
2012-09-30,PL,air,97.4,0.22473918954798283,0.07091130466425451,0.01564129301355588,3
2012-12-31,PL,air,98.7,0.3393745472683698,0.12144251260821232,0.013347022587268942,4
2013-03-31,PL,air,97.9,0.26882971174813175,0.10393274916211746,-0.008105369807497431,1
2013-06-30,PL,air,99.6,0.4187374872286371,0.08488618365089896,0.017364657814095796,2
2013-09-30,PL,air,99.8,0.4363736961086969,0.07721088472598765,0.002008032128514081,3
2013-12-31,PL,air,98.8,0.3481926517083991,0.07632458666653907,-0.01002004008016033,4
2014-03-31,PL,air,96.2,0.11892193626762518,0.1461430667920781,-0.02631578947368418,1
2014-06-30,PL,air,97.0,0.1894667717878632,0.14498565602302754,0.008316008316008316,2
2014-09-30,PL,air,96.2,0.11892193626762518,0.10811921449305367,-0.008247422680412342,3
2014-12-31,PL,air,94.9,0.004286578547238232,0.07666343222442064,-0.013513513513513487,4
2015-03-31,PL,air,94.2,-0.05744015253297051,0.11116292397513257,-0.00737618545837726,1
2015-06-30,PL,air,94.8,-0.004531525892792303,0.07425905107229107,0.006369426751592355,2
2015-09-30,PL,air,99.2,0.3834650694685187,0.2031834909316766,0.04641350210970474,3
2015-12-31,PL,air,97.9,0.26882971174813175,0.21253583058615408,-0.01310483870967738,4
2016-03-31,PL,air,97.5,0.23355729398801212,0.16299584868246586,-0.0040858018386108474,1
2016-06-30,PL,air,97.1,0.19828487622789248,0.08029641497065958,-0.004102564102564155,2
2016-09-30,PL,air,97.6,0.2423753984280414,0.02913535157228583,0.005149330587023604,3
