date,geo,mode,value
2022-06-30,PL,air,111.1
2022-09-30,PL,air,115.5
2022-12-31,PL,air,115.5
2023-03-31,PL,air,115.3
2023-06-30,PL,air,123.1
2023-09-30,PL,air,124.6
2023-12-31,PL,air,121.9
2015-03-31,DE,road,91.7
2015-06-30,DE,road,92.0
2015-09-30,DE,road,92.0
2015-12-31,DE,road,91.8
2016-03-31,DE,road,91.2
2016-06-30,DE,road,91.1
2016-09-30,DE,road,91.2
2016-12-31,DE,road,91.2
2017-03-31,DE,road,91.6
2017-06-30,DE,road,91.7
2017-09-30,DE,road,91.8
2017-12-31,DE,road,92.1
2018-03-31,DE,road,93.1
2018-06-30,DE,road,93.6
2018-09-30,DE,road,94.4
2018-12-31,DE,road,94.8
2019-03-31,DE,road,96.6
2019-06-30,DE,road,97.1
2019-09-30,DE,road,97.3
2019-12-31,DE,road,97.4
2020-03-31,DE,road,97.8
2020-06-30,DE,road,97.4
2020-09-30,DE,road,97.3
2020-12-31,DE,road,97.3
2021-03-31,DE,road,97.9
2021-06-30,DE,road,99.1
2021-09-30,DE,road,100.8
2021-12-31,DE,road,102.2
2022-03-31,DE,road,106.8
2022-06-30,DE,road,113.0
2022-09-30,DE,road,115.8
2022-12-31,DE,road,118.0
2023-03-31,DE,road,119.9
2023-06-30,DE,road,119.2
2023-09-30,DE,road,119.4
2023-12-31,DE,road,120.7
2005-03-31,ES,road,79.8
2005-06-30,ES,road,83.7
2005-09-30,ES,road,85.4
2005-12-31,ES,road,85.3
2006-03-31,ES,road,87.4
2006-06-30,ES,road,89.5
2006-09-30,ES,road,92.4
2006-12-31,ES,road,91.6
2007-03-31,ES,road,92.2
2007-06-30,ES,road,90.8
2007-09-30,ES,road,93.7
2007-12-31,ES,road,92.9
2008-03-31,ES,road,91.8
2008-06-30,ES,road,93.4
2008-09-30,ES,road,95.1
2008-12-31,ES,road,94.6
2009-03-31,ES,road,90.3
2009-06-30,ES,road,90.0
2009-09-30,ES,road,89.5
2009-12-31,ES,road,92.4
2010-03-31,ES,road,92.8
2010-06-30,ES,road,91.6
2010-09-30,ES,road,96.0
2010-12-31,ES,road,95.0
2011-03-31,ES,road,95.0
2011-06-30,ES,road,98.2
2011-09-30,ES,road,96.7
2011-12-31,ES,road,94.5
2012-03-31,ES,road,92.8
2012-06-30,ES,road,94.1
2012-09-30,ES,road,95.4
2012-12-31,ES,road,98.1
2013-03-31,ES,road,94.9
2013-06-30,ES,road,95.0
